seed,nVertex,arborescence,time
811,500,781,0.02
812,500,810,0.02
813,500,776,0.02
814,500,805,0.019
815,500,774,0.018
816,500,794,0.018
817,500,838,0.018
818,500,812,0.02
819,500,752,0.018
820,500,783,0.019
821,500,797,0.02
822,500,761,0.019
823,500,816,0.017
824,500,816,0.018
825,500,812,0.023
826,500,779,0.016
827,500,771,0.021
828,500,798,0.02
829,500,779,0.02
830,500,787,0.02
831,500,774,0.018
832,500,793,0.017
833,500,798,0.017
834,500,769,0.02
835,500,781,0.019
836,500,807,0.016
837,500,790,0.018
838,500,822,0.018
839,500,782,0.019
840,500,776,0.019
841,500,773,0.018
842,500,783,0.017
843,500,767,0.02
844,500,805,0.018
845,500,774,0.018
846,500,784,0.017
847,500,764,0.017
848,500,759,0.017
849,500,807,0.017
850,500,800,0.018
851,500,785,0.018
852,500,782,0.017
853,500,790,0.017
854,500,799,0.017
855,500,799,0.017
856,500,772,0.018
857,500,803,0.017
858,500,799,0.016
859,500,793,0.018
860,500,744,0.017
861,500,818,0.018
862,500,844,0.018
863,500,771,0.017
864,500,774,0.018
865,500,774,0.019
866,500,798,0.019
867,500,802,0.019
868,500,795,0.019
869,500,818,0.02
870,500,782,0.017
871,500,821,0.017
872,500,804,0.017
873,500,806,0.018
874,500,761,0.019
875,500,732,0.019
876,500,801,0.017
877,500,778,0.019
878,500,778,0.018
879,500,754,0.019
880,500,785,0.018
881,500,794,0.017
882,500,804,0.018
883,500,820,0.018
884,500,761,0.018
885,500,808,0.017
886,500,815,0.018
887,500,788,0.021
888,500,798,0.018
889,500,824,0.021
890,500,816,0.019
891,500,815,0.018
892,500,808,0.017
893,500,774,0.016
894,500,759,0.016
895,500,805,0.014
896,500,798,0.015
897,500,800,0.017
898,500,787,0.018
899,500,800,0.018
900,500,831,0.017
901,500,757,0.018
902,500,786,0.017
903,500,770,0.019
904,500,770,0.016
905,500,792,0.018
906,500,812,0.018
907,500,777,0.018
908,500,776,0.017
909,500,775,0.018
910,500,762,0.025
911,500,784,0.023
912,500,761,0.018
913,500,821,0.015
914,500,782,0.017
915,500,803,0.015
916,500,860,0.016
917,500,793,0.018
918,500,776,0.019
919,500,754,0.018
920,500,774,0.02
921,500,807,0.019
922,500,809,0.02
923,500,804,0.017
924,500,789,0.017
925,500,823,0.018
926,500,788,0.018
927,500,802,0.017
928,500,798,0.017
929,500,774,0.016
930,500,774,0.022
931,500,771,0.02
932,500,774,0.019
933,500,752,0.018
934,500,771,0.019
935,500,778,0.019
936,500,801,0.017
937,500,796,0.018
938,500,776,0.019
939,500,829,0.017
940,500,819,0.018
941,500,817,0.017
942,500,816,0.018
943,500,803,0.018
944,500,768,0.02
945,500,795,0.017
946,500,763,0.02
947,500,781,0.018
948,500,773,0.018
949,500,789,0.018
950,500,791,0.018
951,500,813,0.018
952,500,795,0.017
953,500,833,0.018
954,500,797,0.02
955,500,791,0.018
956,500,783,0.017
957,500,832,0.018
958,500,766,0.02
959,500,815,0.02
960,500,811,0.017
961,500,766,0.018
962,500,745,0.017
963,500,765,0.017
964,500,799,0.017
965,500,788,0.021
966,500,769,0.02
967,500,752,0.025
968,500,803,0.023
969,500,769,0.019
970,500,799,0.02
971,500,805,0.017
972,500,792,0.019
973,500,777,0.024
974,500,797,0.024
975,500,807,0.018
976,500,752,0.018
977,500,793,0.017
978,500,797,0.019
979,500,810,0.019
980,500,787,0.02
981,500,822,0.019
982,500,787,0.018
983,500,804,0.017
984,500,782,0.017
985,500,783,0.019
986,500,798,0.019
987,500,797,0.017
988,500,783,0.017
989,500,794,0.018
990,500,796,0.019
991,500,809,0.019
992,500,802,0.018
993,500,788,0.018
994,500,802,0.019
995,500,791,0.018
996,500,829,0.017
997,500,806,0.017
998,500,777,0.018
999,500,828,0.018
