seed,nVertex,arborescence,time
500,500,795,0.022
501,500,798,0.238
502,500,810,0.257
503,500,802,0.025
504,500,796,0.344
505,500,807,0.241
506,500,787,0.118
507,500,805,0.045
508,500,796,0.208
509,500,826,0.08
510,500,806,0.032
511,500,797,0.194
512,500,765,0.243
513,500,790,0.002
514,500,780,0.074
515,500,771,0.273
516,500,830,0.074
517,500,814,0.267
518,500,744,0.063
519,500,793,0.041
520,500,812,0.327
521,500,792,0.08
522,500,793,0.014
523,500,818,0.189
524,500,844,0.216
525,500,808,0.275
526,500,788,0.025
527,500,794,0.339
528,500,777,0.011
529,500,855,0.24
530,500,780,0.275
531,500,771,0.292
532,500,810,0.007
533,500,786,0.227
534,500,787,0.014
535,500,762,0.326
536,500,780,0.304
537,500,785,0.084
538,500,803,0.117
539,500,804,0.308
540,500,767,0.316
541,500,818,0.143
542,500,790,0.05
543,500,770,0.019
544,500,761,0.003
545,500,768,0.154
546,500,814,0.183
547,500,773,0.059
548,500,763,0.099
549,500,788,0.02
550,500,830,0.157
551,500,784,0.06
552,500,826,0.315
553,500,812,0.225
554,500,803,0.004
555,500,795,0.131
556,500,757,0.002
557,500,805,0.051
558,500,798,0.119
559,500,796,0.119
560,500,760,0.011
561,500,787,0.076
562,500,772,0.014
563,500,769,0.02
564,500,823,0.046
565,500,773,0.001
566,500,790,0.041
567,500,789,0.011
568,500,817,0.223
569,500,845,0.259
570,500,758,0.043
571,500,791,0.102
572,500,794,0.142
573,500,766,0.212
574,500,787,0.027
575,500,778,0.214
576,500,783,0.021
577,500,796,0.2
578,500,785,0.073
579,500,793,0.271
580,500,813,0.19
581,500,806,0.003
582,500,765,0.196
583,500,768,0.032
584,500,779,0.043
585,500,791,0.082
586,500,837,0.24
587,500,776,0.025
588,500,787,0.063
589,500,807,0.249
590,500,786,0.3
591,500,764,0.246
592,500,780,0.003
593,500,771,0.006
594,500,775,0.174
595,500,795,0.298
596,500,774,0.003
597,500,810,0.178
598,500,788,0.081
599,500,766,0.077
600,500,784,0.009
601,500,775,0.312
602,500,799,0.045
603,500,784,0.058
604,500,813,0.181
605,500,791,0.018
606,500,744,0.115
607,500,788,0.083
608,500,803,0.164
609,500,761,0.337
610,500,812,0.272
611,500,769,0.28
612,500,814,0.329
613,500,793,0.03
614,500,773,0.003
615,500,764,0.204
616,500,775,0.023
617,500,803,0.103
618,500,800,0.094
619,500,786,0.003
620,500,801,0.003
621,500,810,0.006
622,500,802,0.32
623,500,778,0.187
624,500,801,0.011
625,500,805,0.012
626,500,779,0.106
627,500,790,0.245
628,500,759,0.227
629,500,774,0.12
630,500,810,0.32
631,500,785,0.113
632,500,768,0.101
633,500,773,0.049
634,500,780,0.322
635,500,812,0.275
636,500,823,0.286
637,500,792,0.113
638,500,790,0.146
639,500,815,0.243
640,500,785,0.011
641,500,807,0.11
642,500,789,0.236
643,500,765,0.019
644,500,786,0.066
645,500,785,0.046
646,500,787,0.002
647,500,784,0.323
648,500,738,0.005
649,500,785,0.099
650,500,796,0.188
651,500,770,0.003
652,500,764,0.093
653,500,785,0.02
654,500,769,0.317
655,500,794,0.257
656,500,787,0.027
657,500,800,0.253
658,500,825,0.219
659,500,790,0.245
660,500,770,0.18
661,500,780,0.003
662,500,767,0.057
663,500,784,0.1
664,500,807,0.046
665,500,799,0.274
666,500,767,0.005
667,500,799,0.185
668,500,758,0.01
669,500,810,0.072
670,500,778,0.044
671,500,784,0.262
672,500,757,0.117
673,500,801,0.221
674,500,798,0.233
675,500,791,0.286
676,500,815,0.2
677,500,759,0.323
678,500,768,0.008
679,500,791,0.235
680,500,782,0.072
681,500,816,0.255
682,500,763,0.141
683,500,787,0.003
684,500,799,0.314
685,500,765,0.025
686,500,754,0.05
687,500,794,0.026
688,500,750,0.284
689,500,758,0.339
690,500,758,0.002
691,500,803,0.289
692,500,813,0.29
693,500,797,0.313
694,500,762,0.005
695,500,784,0.187
696,500,791,0.003
697,500,813,0.055
698,500,764,0.044
699,500,754,0.035
700,500,809,0.027
701,500,829,0.306
702,500,804,0.194
703,500,780,0.28
704,500,803,0.127
705,500,800,0.034
706,500,830,0.189
707,500,755,0.025
708,500,789,0.147
709,500,778,0.307
710,500,795,0.262
711,500,772,0.333
712,500,777,0.157
713,500,782,0.103
714,500,794,0.179
715,500,814,0.093
716,500,796,0.129
717,500,747,0.178
718,500,797,0.111
719,500,779,0.111
720,500,812,0.23
721,500,807,0.003
722,500,821,0.3
723,500,785,0.152
724,500,783,0.013
725,500,829,0.284
726,500,797,0.316
727,500,792,0.09
728,500,781,0.003
729,500,801,0.284
730,500,806,0.146
731,500,788,0.127
732,500,804,0.005
733,500,767,0.277
734,500,807,0.26
735,500,752,0.192
736,500,825,0.003
737,500,816,0.063
738,500,793,0.023
739,500,801,0.053
740,500,811,0.045
741,500,759,0.042
742,500,797,0.258
743,500,827,0.285
744,500,767,0.117
745,500,789,0.197
746,500,810,0.136
747,500,785,0.311
748,500,793,0.204
749,500,816,0.036
750,500,777,0.005
751,500,794,0.008
752,500,824,0.131
753,500,786,0.01
754,500,761,0.029
755,500,808,0.322
756,500,771,0.101
757,500,793,0.032
758,500,770,0.175
759,500,824,0.229
760,500,826,0.074
761,500,817,0.335
762,500,792,0.01
763,500,807,0.297
764,500,768,0.133
765,500,801,0.297
766,500,784,0.159
767,500,786,0.225
768,500,773,0.144
769,500,794,0.035
770,500,813,0.078
771,500,810,0.029
772,500,818,0.313
773,500,759,0.023
774,500,798,0.315
775,500,798,0.319
776,500,764,0.017
777,500,746,0.002
778,500,815,0.278
779,500,784,0.257
780,500,831,0.046
781,500,781,0.261
782,500,824,0.042
783,500,798,0.322
784,500,785,0.303
785,500,796,0.132
786,500,797,0.008
787,500,783,0.045
788,500,822,0.028
789,500,793,0.092
790,500,818,0.03
791,500,795,0.003
792,500,783,0.013
793,500,778,0.235
794,500,820,0.309
795,500,830,0.009
796,500,753,0.011
797,500,800,0.019
798,500,795,0.111
799,500,790,0.107
800,500,779,0.054
801,500,773,0.163
802,500,777,0.173
803,500,763,0.095
804,500,824,0.011
805,500,801,0.04
806,500,799,0.143
807,500,733,0.015
808,500,789,0.103
809,500,770,0.022
810,500,757,0.109
811,500,781,0.244
812,500,810,0.016
813,500,776,0.001
